Season,LC_Class,Mean_NSSR,StdDev_NSSR,P10_NSSR,P50_NSSR,P90_NSSR,IQR_NSSR,Spread_P90_P10,Pixel_Count
Winter,Forest,318.10198974609375,12.613017082214355,303.63104248046875,316.9408874511719,335.6293029785156,15.92559814453125,31.998260498046875,317878
Winter,Shrubland,304.40533447265625,16.017759323120117,290.35772705078125,300.9143981933594,330.8752136230469,10.425323486328125,40.517486572265625,15
Winter,Grassland,303.1396789550781,15.215249061584473,285.9029846191406,302.7772216796875,321.1085510253906,16.7161865234375,35.20556640625,27750
Winter,Cropland,304.6060791015625,11.206429481506348,292.2968444824219,304.27569580078125,316.5831604003906,12.599029541015625,24.28631591796875,97065
Winter,Buildings,318.7890930175781,15.096273422241211,299.9625244140625,320.19049072265625,336.5366516113281,18.93670654296875,36.574127197265625,738643
Winter,Bareland,304.9795837402344,21.485965728759766,280.1575012207031,304.95196533203125,332.8043212890625,26.479034423828125,52.646820068359375,6164
Winter,SnowIce,,,,,,,,0
Winter,Water,337.02667236328125,11.163858413696289,325.59722900390625,339.1739196777344,346.4206848144531,9.226318359375,20.823455810546875,18179
Spring,Forest,467.3206481933594,13.476398468017578,450.82965087890625,466.8487854003906,484.47259521484375,18.155853271484375,33.6429443359375,317879
Spring,Shrubland,445.5469970703125,8.851580619812012,438.7622375488281,441.4869689941406,459.58843994140625,7.2242431640625,20.826202392578125,15
Spring,Grassland,448.3650817871094,15.345195770263672,430.85162353515625,446.58544921875,467.4671325683594,17.3818359375,36.615509033203125,27750
Spring,Cropland,449.03717041015625,10.741124153137207,436.7294616699219,448.5050964355469,461.767333984375,12.903045654296875,25.037872314453125,97065
Spring,Buildings,464.4886474609375,13.219437599182129,447.2021484375,466.09393310546875,479.590576171875,17.33282470703125,32.388427734375,738646
Spring,Bareland,449.1684265136719,18.071809768676758,428.0039367675781,450.2462158203125,470.6513977050781,23.065185546875,42.6474609375,6164
Spring,SnowIce,,,,,,,,0
Spring,Water,496.37261962890625,13.4295015335083,478.7557678222656,499.04473876953125,510.8857727050781,15.594573974609375,32.1300048828125,18179
Summer,Forest,558.294921875,23.11454200744629,529.318115234375,558.515380859375,586.175537109375,28.48394775390625,56.857421875,317878
Summer,Shrubland,544.8674926757812,20.628196716308594,524.35009765625,536.6593627929688,564.4097290039062,24.28173828125,40.05963134765625,15
Summer,Grassland,550.8639526367188,26.76055145263672,521.7796020507812,548.393310546875,582.4423217773438,25.57000732421875,60.6627197265625,27750
Summer,Cropland,547.254638671875,24.44538688659668,520.6632080078125,546.0013427734375,570.8818969726562,24.22442626953125,50.21868896484375,97065
Summer,Buildings,562.5430297851562,26.613998413085938,530.8479614257812,564.924072265625,591.9957885742188,31.47552490234375,61.1478271484375,738643
Summer,Bareland,546.9940185546875,39.49241638183594,501.4452209472656,551.3668212890625,589.0037841796875,38.8316650390625,87.55856323242188,6164
Summer,SnowIce,,,,,,,,0
Summer,Water,622.3549194335938,22.488811492919922,590.2116088867188,628.34912109375,642.83251953125,20.2291259765625,52.62091064453125,18179
Autumn,Forest,331.625,13.802543640136719,315.7528991699219,330.2931823730469,351.04095458984375,17.269866943359375,35.288055419921875,317876
Autumn,Shrubland,318.4405517578125,17.87929344177246,300.9577941894531,313.8492126464844,345.420654296875,10.4151611328125,44.462860107421875,15
Autumn,Grassland,317.5952453613281,17.577070236206055,297.0716857910156,316.2679138183594,340.7380676269531,19.1170654296875,43.6663818359375,27750
Autumn,Cropland,318.3422546386719,13.088221549987793,303.54168701171875,317.9698791503906,332.2851867675781,13.972808837890625,28.743499755859375,97065
Autumn,Buildings,332.28076171875,16.808273315429688,311.5545654296875,333.6659851074219,352.0902099609375,20.6644287109375,40.53564453125,738626
Autumn,Bareland,318.9741516113281,24.745065689086914,289.9160461425781,319.4390563964844,350.8099365234375,31.289031982421875,60.893890380859375,6164
Autumn,SnowIce,,,,,,,,0
Autumn,Water,359.7428283691406,9.792407035827637,346.5965270996094,363.32733154296875,366.49737548828125,6.046722412109375,19.900848388671875,18179
